abandon,v./n.放棄；放縱
disregard,v./n.疏忽，漠視
disrepute,n.名聲不好
disrupt,v.弄亂，擾亂
disruptive,a.製造混亂的
dissect,v.解剖
dissemble,v.隱藏，掩飾(感受、意圖)
disseminate,v.散布，傳播
dissent,v.不同意，持異議
dissertation,n.專題論文
dissident,n.唱反調者
dissimulate,v.隱藏，掩飾
dissipate,v.(使)驅散；浪費
dissociation,n.分離，脫離關係
dissolute,a.放蕩的，無節制的
dissolve,v.使固體溶解
dissonant,a.不和諧的，不一致的
dissuade,v.勸阻，阻止
distant,a.疏遠的，冷淡的
distend,v.(使)膨脹，脹大
distension,n.膨脹
distill,v.蒸餾
distinct,a.清楚的，明顯的
distinction,n.區別，差別；知名
distinctive,a.出眾的，有特色的
distinguished,a.著名的，卓越的
distort,v.扭曲，弄歪
distract,v.分心，轉移；使發狂，困擾
distracted,a.心煩意亂的，精神不集中的
distraught,a.心神狂亂的
distress,n.痛苦，悲痛
distribute,v.分發，分配某事物
district,n.地區，行政區，（美國各州的）眾議院選區
ditty,n.小曲，小調
diurnal,a.白晝的，白天的
diva,n.歌劇中的首席女主角
diver,n.潛水員
diverge,v.分歧，分開
divergent,a.分叉的，岔開的，背道而馳的
diverse,a.不同的；多樣的
diversity,n.多樣，千變萬化
divert,v.使某事物轉向；使娛樂
divest,v.卸下盛裝；剝奪
divestiture,n.脫衣，卸下裝飾；剝奪財產；取消稱號
divine,v.推測，預言
divulge,v.洩露，透露
docile,a.馴服的，聽話的
doctrinaire,n.空論家；a.教條的，迂腐的
doctrine,n.教義，主義；學說
document,v.為…提供書面證明
dodder,v.蹣跚，搖擺
dodge,v.閃開，躲避
doff,v.脫掉
dogged,a.頑強的
doggerel,n.歪詩，打油詩
dogma,n.教條，信條
dogmatism,n.教條主義，武斷
doldrums,n.赤道無風帶；情緒低落
doleful,a.憂愁的，消沈的
dolorous,a.悲哀的，憂愁的
dolt,n.傻瓜
domain,n.領土；領域
dome,n.圓頂屋
domesticate,v.馴養
domicile,n.住處，住所
dominant,a.顯性的，優勢的
dominate,v.控制，支配
domination,n.控制，支配，管轄
donate,v.捐贈，贈送
donor,n.捐贈者，贈送者；獻血者
doodle,v.胡亂畫；混時間
dormancy,n.休眠狀態
dormant,a.冬眠的；靜止的
dorsal,a.背部的
dose,n.劑量，一劑
dossier,n.卷宗，檔案
dote,v.溺愛；昏聵
doting,a.溺愛的
dour,a.嚴厲的，臉色陰沈的
douse,v.把…浸入水中；熄滅
down,n.絨毛；汗毛
downplay,v.貶低，不予重視
downpour,n.暴雨
down-to-earth,n.腳踏實地的，實際的
doyen,n.老前輩
drab,a.枯黃色的；無聊的
draconian,a.嚴厲的，嚴酷的
draft,n.草稿，草案；匯票
draftsmanship,n.起草術，製圖術
drain,v.排出溝外；喝光
drainage,n.排水；污水
drastic,a.猛烈的，激烈的
drawbridge,n.吊撟
drawl,v./n.慢吞吞地說話（態度）
dreary,a.沈悶的，乏味的
dregs,n.糟粕，沈澱廢物
drench,v.使濕透
drenched,a.濕透的
drill,n.鑽；鑽床
drivel,n./v.說廢話
drizzle,v.下毛毛雨；n.毛毛雨
drizzly,a.毛毛細雨的
droll,a.古怪的，好笑的
drone,v.嗡嗡地響，單調地說；n.單調的低音
droop,v.低垂；沮喪，萎靡
droplet,n.小水滴
dross,n.浮渣；糟粕
drought,n.乾旱；乾旱時期
drove,n.畜群；人群
drudgery,n.苦工，苦活
dual,a.雙重的
dubious,a.可疑的；名聲不大好的
duckling,n.雛鴨，小鴨
duct,n.管道，槽
duel,n.決鬥
duet,n.二重唱
dull,a.不鮮明的；遲鈍的；v.變遲鈍
dummy,n.人體模型，假人
dune,n.沙丘
dupe,n.易上當的人
duplicitous,a.搞兩面派的，奸詐的
duplicity,n.欺騙，口是心非
duration,n.持續的時間
duress,n.脅迫
dutiful,a.恭敬順從的，盡職的
dwarf,n.侏儒；矮小的植物；v.使變矮小
dwelling,n.住處
dwindle,v.變小
dynamic,a.動態的；有活力的
dynamo,n.發電機
dysfunctional,a.功能失調的
dyslexia,n.閱讀障礙
dyspeptic,a.消化不良的；不高興的
earnest,a.認真的
earplug,n.耳塞
earring,n.耳環，耳飾
earshot,n.聽力所及範圍
earsplitting,a.震耳欲聾的
earthly,a.現世的，塵世的
earthy,a.粗俗的，粗陋的
easel,n.黑板，畫架
eavesdrop,v.偷聽，竊聽
ebb,v.退潮；衰退
ebullience,n.興衝衝，亢奮
eccentric,a.古怪的，反常的；n.古怪的人
eclectic,a.折衷的，綜合性的
eclecticism,n.折衷主義
ecologist,n.生態學家，生態學者
economical,a.經濟的，節約的
ecstasy,n.狂喜；激情狀態
ecstatic,a.狂喜的，心花怒放的
eddy,n.漩渦，渦流
edifice,n.宏偉的建築(如宮殿、教堂)
edify,v.陶冶，啓發
efface,v.擦掉，抹去
effervesce,v.冒泡；熱情洋溢
effete,a.無生產力；虛弱的
efficacious,a.有效的
efficacy,n.功效，有效性
effluvia,n.氣味，惡臭；廢料
effrontery,n.厚顏無恥
effulgent,a.燦爛的
egalitarian,a.主張人人平等的
egocentric,a.利己的
egotist,n.自私自利者
egregious,a.(缺點等)過分的，驚人的
egress,n.出去，出口
elaborate,a.精緻的，複雜的；v.詳盡地說明，闡明
elaboration,n.詳細的細節，詳盡闡述
elated,a.得意洋洋的，振奮的
elbow,n.肘
elegy,n.哀歌，輓歌
elementary,a.初級的
elephantine,a.笨拙的，龐大的
elevate,v.將…舉起
elicit,v.引出，探出
eligible,a.合格的
eliminate,v.除去，淘汰
elite,n.精華，中堅
ellipsis,n.省略
elliptical,a.橢圓的；晦澀的；省略的
elm,n.榆樹
elocution,n.演說術
elongate,v.延長，伸長
eloquence,n.雄辯，精彩演講
elucidate,v.闡明，說明
elude,v.逃避；搞不清
elusive,a.難懂的
emaciate,v.使…瘦弱；消瘦
emaciation,n.消瘦，衰弱
emanate,v.散髮，發出，發源
emancipate,v.解放，解除
embargo,n.禁運令，封港令
embarrass,v.使忸怩，使難堪
embed,v.牢牢插入，嵌於
embellish,v.裝飾，潤飾
embezzlement,n.貪污，盜用
emblematic,a.作為象徵的
embody,v.(作品等)表達，體現
embolden,v.鼓勵
emboss,v.加浮雕花紋於，使凸出
embrace,v.擁抱；包含
embroider,v.刺繡，修飾
emend,v.訂正，校訂
emergency,n.緊急事件
emigrate,v.自本國移居他國
eminence,n.卓越，傑出
eminent,a.著名的，顯著的
emissary,n.密使；特使
emit,v.放射(光、熱、味等)
emollient,n.潤膚劑
emote,v.激動地表達感情
empathy,n.心意相通，(感情等)融為一體
emphatic,a.重視的，強調的
empirical,a.經驗的，實證的
empiricism,n.經驗主義
empower,v.授權給某人採取行動
empyreal,a.天空的
emulate,v.努力趕上或超越
emulsify,v.使乳化
enact,v.制定(法律)；扮演(角色)
enamel,n.琺瑯，瓷釉
enamored,a.珍愛的，喜愛的
encapsulate,v.裝入膠囊；壓縮
enchant,v.使迷醉；施魔法於
enclosure,n.圈地，圍佔
encomiast,n.贊美者
encomium,n.贊頌，頌辭
encompass,v.包圍，圍繞
encounter,v.遭遇
encroach,v.侵佔，蠶食
encumber,v.妨害，阻礙
encyclopedia,n.百科全書
endearing,a.討人喜歡的
endemic,a.地方性的
endorse,v.背書；贊同
endow,v.資助，捐助
endure,v.忍受，忍耐
enduring,a.持續的
enervate,v.使虛弱，使無力
enfeeble,v.使衰弱
enfetter,v.給…上腳鐐；束縛，使受制於
enflame,v.使憤怒或激動
engaged,a.忙碌的，使用中的
engaging,a.迷人的，美麗動人的
engender,v.產生，引起
engrave,v.在(硬物)上雕刻
engross,v.全神貫注於
engulf,v.吞噬
enhance,v.提高，增加，改善
enjoin,v.命令，吩咐
enlighten,v.啓發，開導，教導，授予…知識
enlightening,a.有啓迪作用的；使人領悟的
enlist,v.(使)入伍從軍，徵募
enliven,v.使…更活躍
enmesh,v.通常被動)絆住，陷入網
enmity,n.敵意，仇恨
ennui,n.倦怠，無聊；v.使無聊
enormity,n.極惡；暴行；巨大
enormous,a.極大的，巨大的
enrage,v.激怒，觸怒
enrapture,v.使狂喜，使高興
ensconce,v.安置，安坐
ensemble,n.全體；大合唱
ensign,n.艦旗(船上表示所屬國家的旗幟)
ensue,v.繼而發生
ensure,v.確保，擔保
entail,v.需要，需求，必須
entangle,v.使糾纏，捲入
enterprise,n.公司，事業單位；進取心
enthralling,a.迷人的，吸引人的
entice,v.慫恿，引誘
entirety,n.整體，全面
entitle,v.使有權(做某事)
entity,n.實體，統一體
entrance,v.使出神，使入迷
entrancing,a.使人入神的
entreat,v.懇求
entreaty,n.懇求，哀求
entrée,n.正餐前的開胃菜；獲准進入的權利
entrepreneur,n.企業家，創業人
entrust,v.委託；托付
entry,n.條目；登錄；報關手續；入口
enumerate,v.列舉，枚舉
enunciate,v.發音；(清楚地)表達
environ,v.包圍，圍繞
envision,v.想象，預想
enzyme,n.酵素，酶
epaulet,n.肩章，肩飾
ephemeral,a.朝生暮死的；生命短暫的
epic,n.敘事詩，史詩；a.英雄的；大規模的
epicure,n.美食家
epidemic,a.傳染性的，流行性的
epidermis,n.表皮，外皮
epigram,n.諷刺短句，警句
epilogue,n.收場白；尾聲
