venerate,v.崇敬，敬仰
pound,v.強烈打擊；v.心砰砰跳，費力地移動
prong,v.刺，戳，貫穿
pudgy,a.短而胖的；胖嘟嘟的
pushy,a.過於積極的；冒進的
putter,v.閒蕩；n.置放者
quasi,a.貌似的，類似的，准的
quicksilver,a.水銀的，易變的；v.塗上水銀
quondam,a.原來的，以前的
rack,v.使痛苦，使受折磨
ramp,v.穩定增長或下降；n.坡道，斜坡
raptorial,a.食肉的；凶猛的
ravening,a.狼吞虎嚥的
recusant,a.不服從規章的(人)
retch,v.作嘔，惡心
ritzy,a.時髦的，勢利的
sag,v.鬆弛，下垂
sally,n.突圍；遠足
sanitize,v.使„清潔
satiny,a.光滑的，柔細的
saucy,a.無禮的；調皮的；漂亮的
scamp,v.草率地做；n.惡棍，流氓
scraggly,a.參差不齊的；蓬亂的
scruffy,a.骯髒的，不潔的
shamble,v.蹣跚而行，踉蹌而行
shilly-shally,v.猶豫不決；虛度時光
simonize,v.給„上蠟，把„擦亮
slog,v.猛擊；苦幹
slosh,v.濺，潑；n.雪泥
slug,v.猛擊，拳擊
smite,v.重打，猛擊，折磨
smut,n.污跡v.弄髒，污
snipe,v.狙擊
snivel,v.流鼻涕；n.啜泣
snooze,v.打盹兒，打瞌睡
soigne,a.時髦的，優雅的
soulful,a.充滿熱情的，深情的
sour,a.酸的
spatter,v.噴灑
spew,v.嘔吐；大量噴出
sportive,a.嬉戲的，歡鬧的
squab,a.剛孵出的，羽毛未豐的
squirt,v.噴，射
stampede,v.驚跑，逃竄
stately,a.莊嚴的；宏偉的
staunch,a.堅定的，忠誠的
sticky,a.濕熱的；悶熱的
straiten,v.使陷入困難；使變窄
stricken,a.被(疾病等)折磨的；被擊中的
swathe,v.包，綁，裹
swig,v.痛飲
swoop,v.猛撲，突然襲擊
tatter,v.撕碎；n.碎片
tattle,v.閒聊；洩露秘密
thump,v.重擊，捶擊
tony,a.高貴的，豪華的
troll,v.釣魚；興高采烈地唱
trounce,v.痛擊，徹底地打敗
tumble,v.突然跌倒；突然下跌，倒塌
tweak,v.扭,擰，揪；調節，微調
unbosom,v.傾訴，吐露心事
velvety,a.柔軟光滑的，爽口的
verboten,a.被禁止的，嚴禁的
versant,a.專心從事的；n.斜坡
vest,v.授權，授予，賦予
vintage,a.經典的；最好的
wacky,a.(行為等)古怪的；愚蠢的
wend,v.行，走
wheeze,v.喘息，發出呼哧呼哧的聲音
whimper,v.哭哭啼啼，抽泣
wigwag,v.搖動，搖擺
wile,n.詭計；花言巧語
wispy,a.纖細的，脆弱的
wroth,a.激怒的，非常憤怒的
yank,v.拽；拔；猛拔
yen,v.上癮，渴望
yowl,v.嚎叫，慟哭
yummy,a.美味的，可口的
zany,a.荒唐可笑的；像小丑的
zoom,v.急速上升
